September 20, 1986
September 27, 1986
October 4, 1986
October 11, 1986
October 18, 1986
October 25, 1986
November 1, 1986
November 8, 1986
November 15, 1986
November 22, 1986
November 29, 1986
December 6, 1986
December 13, 1986
December 20, 1986
December 27, 1986
January 3, 1987
January 10, 1987
January 17, 1987
January 24, 1987
January 31, 1987
February 7, 1987
February 14, 1987
February 28, 1987
March 7, 1987
March 14, 1987
March 21, 1987
March 28, 1987
April 11, 1987
April 18, 1987
April 25, 1987
May 2, 1987
May 9, 1987
May 16, 1987
May 23, 1987
May 30, 1987
June 13, 1987
June 20, 1987
June 27, 1987
July 4, 1987
July 11, 1987
July 18, 1987
July 25, 1987
August 1, 1987
August 8, 1987
August 22, 1987
September 19, 1987
September 26, 1987
October 3, 1987
October 10, 1987
October 17, 1987
October 24, 1987
October 31, 1987
November 7, 1987
November 14, 1987
November 28, 1987
December 5, 1987
December 12, 1987
December 19, 1987
December 26, 1987
January 2, 1988
January 9, 1988
January 16, 1988
January 23, 1988
February 6, 1988
February 13, 1988
February 20, 1988
February 27, 1988
March 5, 1988
March 12, 1988
March 12, 1988
March 19, 1988
April 2, 1988
April 9, 1988
April 16, 1988
April 23, 1988
May 7, 1988
May 14, 1988
May 21, 1988
May 28, 1988
June 11, 1988
June 18, 1988
June 25, 1988
July 9, 1988
July 16, 1988
July 23, 1988
July 30, 1988
August 13, 1988
August 27, 1988
September 3, 1988
September 24, 1988
October 1, 1988
October 18, 1988
October 15, 1988
October 22, 1988
October 29, 1988
November 5, 1988
November 12, 1988
November 19, 1988
November 26, 1988
December 3, 1988
December 10, 1988
December 17, 1988
December 24, 1988
December 31, 1988
January 7, 1989
January 14, 1989
January 21, 1989
January 28, 1989
February 4, 1989
February 11, 1989
February 18, 1989
February 25, 1989
March 4, 1989
March 11, 1989
March 18, 1989
March 25, 1989
April 1, 1989
April 8, 1989
April 15, 1989
April 22, 1989
April 29, 1989
May 6, 1989
May 13, 1989
May 20, 1989
May 27, 1989
June 3, 1989
June 10, 1989
June 17, 1989
June 24, 1989
July 1, 1989
August 7, 1989
July 15, 1989
July 22, 1989
August 5, 1989
August 12, 1989
August 19, 1989
August 26, 1989
September 16, 1989
September 23, 1989
September 30, 1989
October 7, 1989
October 14, 1989
October 21, 1989
October 28, 1989
November 4, 1989
November 11, 1989
November 18, 1989
November 25, 1989
December 2, 1989
December 9, 1989
December 16, 1989
December 23, 1989
December 30, 1989
January 6, 1990
January 13, 1990
January 20, 1990
February 3, 1990
February 10, 1990
February 17, 1990
February 24, 1990
March 3, 1990
March 10, 1990
March 17, 1990
March 24, 1990
April 7, 1990
April 14, 1990
April 21, 1990
April 28, 1990
May 5, 1990
May 12, 1990
May 19, 1990
June 2, 1990
June 9, 1990
June 16, 1990
June 23, 1990
June 30, 1990
July 14, 1990
June 21, 1990
July 28, 1990
August 4, 1990
August 11, 1990
August 18, 1990
August 25, 1990
September 1, 1990
September 15, 1990
September 22, 1990
September 29, 1990
October 6, 1990
October 13, 1990
October 20, 1990
October 27, 1990
November 3, 1990
November 10, 1990
November 17, 1990
November 24, 1990
December 1, 1990
December 8, 1990
December 15, 1990
December 22, 1990
December 29, 1990
January 5, 1991
January 12, 1991
January 19, 1991
January 26, 1991
February 2, 1991
February 9, 1991
February 16, 1991
February 23, 1991
March 2, 1991
March 9, 1991
March 16, 1991
March 23, 1991
March 30, 1991
April 6, 1991
April 13, 1991
April 20, 1991
